Account,total_trades,total_pnl,win_rate,avg_profit,avg_loss,max_drawdown,avg_daily_trades,avg_size_usd,avg_daily_fee,avg_ls_ratio,cluster,color,label
0x083384f897ee0f19899168e3b1bec365f52a9012,1732,1600229.819979,79.27251732101617,1479.7562025433358,-1201.8814654958214,-326659.33799800044,159.08333333333334,33569.102223713766,308.55467933333335,0.07125000000000001,0,#e67e22,Whales (n=6)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4166,47885.320514,77.36437830052807,28.234195034129694,-45.71950167656416,-22505.512853999928,145.42,4538.946123210588,54.5967577706,4.1041,2,#3498db,Balanced Traders (n=11)
0x271b280974205ca63b716753467d5a371de622ab,1607,-70436.191318,71.5619166148102,54.73115818173913,-291.85344250984684,-132868.175087,346.09090909090907,12062.620345797744,843.7257136363637,0.019666666666666666,2,#3498db,Balanced Traders (n=11)
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6771,132494.029922,86.22064687638458,29.343737222165124,-41.60204499571275,-20849.96769999998,82.09876543209876,485.94215032152204,13.693625718832717,5.218529032258064,1,#2ecc71,Precision Traders (n=14)
0x2c229d22b100a7beb69122eed721cee9b24011dd,2060,168658.004994,81.74757281553397,107.3279254388361,-32.13356767287234,-3323.090681999922,46.94202898550725,2553.7570373757217,45.04632930434783,9.855072463768115,1,#2ecc71,Precision Traders (n=14)
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,570,-31203.599986,65.08771929824562,137.6704304393531,-413.4639682361809,-72378.920559,26.0,2324.9783524188647,4.902492112666667,5.0,2,#3498db,Balanced Traders (n=11)
0x39cef799f8b69da1995852eea189df24eb5cae3c,1767,14456.919335999995,66.553480475382,201.2334975297619,-375.9622229424704,-165878.95836699984,78.02173913043478,28188.549085190585,31.70993752326087,3.60175,0,#e67e22,Whales (n=6)
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,158,53496.247243,100.0,338.58384331012667,0.0,0.0,12.615384615384615,10655.700463199251,6.779775996807692,10.0,1,#2ecc71,Precision Traders (n=14)
0x420ab45e0bd8863569a5efbb9c05d91f40624641,90,199505.592732,100.0,2216.7288081333327,0.0,0.0,19.15,8334.762260556681,13.398354448949998,0.011916666666666666,3,#9b59b6,Bot/Outlier (n=1)
0x430f09841d65beb3f27765503d0f850b8bce7713,591,359063.416315,100.0,607.5523118697123,0.0,0.0,86.78571428571429,3537.8588252881664,53.35763792857143,5.0,1,#2ecc71,Precision Traders (n=14)
